cost,dim
1.078889795480685,freq
0.5091241712396302,freq
1.3125077305705415,freq
0.5139282021944592,freq
0.6572110012300277,freq
0.6289682724748782,freq
0.7629432815161368,freq
0.5413428988566562,freq
0.4960785727470665,freq
1.1362235852008837,freq
0.5443389717922116,freq
1.0355635027501118,freq
1.6129829731802423,freq
0.571916714277854,freq
0.6812927931774343,freq
0.7283782576637962,freq
0.8034278563760193,freq
0.5792896155618131,freq
0.9613184727215144,freq
0.8276721481237156,freq
0.8239461061828003,freq
0.542129143665112,freq
1.645762315894129,freq
0.9650617901907779,freq
0.5212990543634564,freq
0.5643520650653101,freq
0.6131101153700852,freq
0.6607706938305159,freq
0.5155638471063984,freq
0.6464225952077677,freq
0.5135950568145177,freq
0.5095541548713434,freq
0.6560544964364003,freq
0.861151731930867,freq
0.5981666467817774,freq
0.5245253974082766,freq
1.059633131490178,freq
0.560752130127437,freq
1.12306153865166,freq
0.7386569840150996,freq
0.5234169446536867,freq
0.517922260663146,freq
0.8067641778114221,freq
0.515359205357977,freq
0.7014710357359665,freq
0.5488385246042973,freq
0.507688912406247,freq
1.6017387666492062,freq
0.732764941730352,freq
0.607192493136199,freq
0.826010008269031,freq
0.7627634295357248,freq
0.5443086079172669,freq
0.8504131453398717,freq
0.686224384715805,freq
0.7364014134161541,freq
0.5225397256195666,freq
0.7712043867519597,freq
0.691057440444389,freq
0.5670991895725231,freq
0.6300989587840232,freq
0.7101704549962752,freq
0.9448406758010002,freq
0.5607233628833754,freq
1.2639160200658928,freq
