lambda,max_scale,pair,score,length,norm_score
50,1.5,Yellow_vs_Pale Green,4655.74132187377,95,49.00780338814495
100,1.5,Yellow_vs_Pale Green,4655.74132187377,95,49.00780338814495
0,1,Pale Blue_vs_Green,5084.678008518485,71,71.61518321857021
50,1,Pale Blue_vs_Green,5084.678008518485,71,71.61518321857021
100,1,Pale Blue_vs_Green,5084.678008518485,71,71.61518321857021
0,1.25,Pale Blue_vs_Green,5078.2890275968275,71,71.52519757178631
50,1.25,Pale Blue_vs_Green,5078.2890275968275,71,71.52519757178631
100,1.25,Pale Blue_vs_Green,5078.2890275968275,71,71.52519757178631
0,1.5,Pale Blue_vs_Green,5462.327581903029,74,73.81523759328417
50,1.5,Pale Blue_vs_Green,5462.327581903029,74,73.81523759328417
100,1.5,Pale Blue_vs_Green,5462.327581903029,74,73.81523759328417
0,1,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
50,1,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
100,1,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
0,1.25,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
50,1.25,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
100,1.25,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
0,1.5,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
50,1.5,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
100,1.5,Pale Blue_vs_Dark Pink,2497.052827018727,127,19.661833283612022
0,1,Pale Blue_vs_Orange,6840.597451560897,84,81.43568394715354
50,1,Pale Blue_vs_Orange,6840.597451560897,84,81.43568394715354
100,1,Pale Blue_vs_Orange,6840.597451560897,84,81.43568394715354
0,1.25,Pale Blue_vs_Orange,6830.528967106689,86,79.42475543147313
50,1.25,Pale Blue_vs_Orange,6830.528967106689,86,79.42475543147313
100,1.25,Pale Blue_vs_Orange,6830.528967106689,86,79.42475543147313
0,1.5,Pale Blue_vs_Orange,7181.309197144983,94,76.39690635260621
50,1.5,Pale Blue_vs_Orange,7181.309197144983,94,76.39690635260621
100,1.5,Pale Blue_vs_Orange,7181.309197144983,94,76.39690635260621
0,1,Pale Blue_vs_Pale Green,2575.442480618462,71,36.273837755189604
50,1,Pale Blue_vs_Pale Green,2575.442480618462,71,36.273837755189604
100,1,Pale Blue_vs_Pale Green,2575.442480618462,71,36.273837755189604
0,1.25,Pale Blue_vs_Pale Green,2521.905873562443,58,43.48113575107661
50,1.25,Pale Blue_vs_Pale Green,2521.905873562443,58,43.48113575107661
100,1.25,Pale Blue_vs_Pale Green,2521.905873562443,58,43.48113575107661
0,1.5,Pale Blue_vs_Pale Green,2679.4128776296247,65,41.2217365789173
50,1.5,Pale Blue_vs_Pale Green,2679.4128776296247,65,41.2217365789173
100,1.5,Pale Blue_vs_Pale Green,2679.4128776296247,65,41.2217365789173
0,1,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
50,1,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
100,1,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
0,1.25,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
50,1.25,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
100,1.25,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
0,1.5,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
50,1.5,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
100,1.5,Green_vs_Dark Pink,2842.5776105937957,143,19.878165109047522
0,1,Green_vs_Orange,10314.091502217098,126,81.85786906521506
50,1,Green_vs_Orange,10314.091502217098,126,81.85786906521506
100,1,Green_vs_Orange,10314.091502217098,126,81.85786906521506
0,1.25,Green_vs_Orange,10314.091502217098,126,81.85786906521506
50,1.25,Green_vs_Orange,10314.091502217098,126,81.85786906521506
100,1.25,Green_vs_Orange,10314.091502217098,126,81.85786906521506
0,1.5,Green_vs_Orange,10075.64085644537,128,78.71594419097946
50,1.5,Green_vs_Orange,10075.64085644537,128,78.71594419097946
100,1.5,Green_vs_Orange,10075.64085644537,128,78.71594419097946
0,1,Green_vs_Pale Green,2577.2473727629404,73,35.30475853099918
50,1,Green_vs_Pale Green,2577.2473727629404,73,35.30475853099918
100,1,Green_vs_Pale Green,2577.2473727629404,73,35.30475853099918
0,1.25,Green_vs_Pale Green,2529.4378281402087,78,32.42869010436165
50,1.25,Green_vs_Pale Green,2529.4378281402087,78,32.42869010436165
100,1.25,Green_vs_Pale Green,2529.4378281402087,78,32.42869010436165
0,1.5,Green_vs_Pale Green,2516.9318869635586,67,37.56614756662028
50,1.5,Green_vs_Pale Green,2516.9318869635586,67,37.56614756662028
100,1.5,Green_vs_Pale Green,2516.9318869635586,67,37.56614756662028
0,1,Dark Pink_vs_Orange,4159.045958979194,160,25.994037243619964
50,1,Dark Pink_vs_Orange,4159.045958979194,160,25.994037243619964
100,1,Dark Pink_vs_Orange,4159.045958979194,160,25.994037243619964
0,1.25,Dark Pink_vs_Orange,4065.5639236853685,151,26.92426439526734
50,1.25,Dark Pink_vs_Orange,4065.5639236853685,151,26.92426439526734
100,1.25,Dark Pink_vs_Orange,4065.5639236853685,151,26.92426439526734
0,1.5,Dark Pink_vs_Orange,3957.1744553733492,146,27.103934625844857
50,1.5,Dark Pink_vs_Orange,3957.1744553733492,146,27.103934625844857
