wminus,pair,score,length,norm_score
4,Pink_vs_Turquoise,4892.367922533856,81,60.39960398189945
5,Pink_vs_Turquoise,4881.983096926547,84,58.1188463919827
0,Pink_vs_White,8585.622367014083,111,77.34794925237912
1,Pink_vs_White,8454.49726243729,108,78.28238205960453
2,Pink_vs_White,8698.510480452154,116,74.9871593142427
3,Pink_vs_White,8868.804707289946,116,76.45521299387885
4,Pink_vs_White,9125.471868483683,117,77.9954860554161
5,Pink_vs_White,9056.002556579395,111,81.58560861783239
0,Pink_vs_Yellow,23852.818969116073,121,197.13073528195102
1,Pink_vs_Yellow,24565.363730155892,124,198.10777201738622
2,Pink_vs_Yellow,24562.12125941008,125,196.49697007528064
3,Pink_vs_Yellow,25074.899518374586,140,179.10642513124705
4,Pink_vs_Yellow,24443.18561726308,119,205.40492115347126
5,Pink_vs_Yellow,24739.397589567554,124,199.5112708836093
