match,mismatch,gap,pair,score,length,norm_score
2,-1,-1,Turquoise_vs_Green,3181.2850515036075,70,45.446929307194395
1,-2,-1,Turquoise_vs_Green,3281.801740536464,87,37.721859086626026
2,-2,-1,Turquoise_vs_Green,3309.848245856145,89,37.18930613321511
1,-1,-2,Turquoise_vs_Green,3099.809815087726,59,52.53914940826654
2,-1,-2,Turquoise_vs_Green,3099.7116121164754,59,52.5374849511267
1,-2,-2,Turquoise_vs_Green,3178.5214979029333,70,45.4074499700419
2,-2,-2,Turquoise_vs_Green,3172.5814724891775,69,45.97944163027793
1,-1,-1,Turquoise_vs_Dark Pink,2374.8451677932158,78,30.44673292042584
2,-1,-1,Turquoise_vs_Dark Pink,2361.0984995269596,78,30.27049358367897
1,-2,-1,Turquoise_vs_Dark Pink,2408.4923426560817,84,28.67252788876288
2,-2,-1,Turquoise_vs_Dark Pink,2376.4752972048555,84,28.291372585772088
1,-1,-2,Turquoise_vs_Dark Pink,2336.047294798096,71,32.902074574621075
2,-1,-2,Turquoise_vs_Dark Pink,2302.3169504610983,74,31.112391222447275
1,-2,-2,Turquoise_vs_Dark Pink,2305.037859988611,81,28.457257530723595
2,-2,-2,Turquoise_vs_Dark Pink,2357.2368945794283,77,30.6134661633692
1,-1,-1,Turquoise_vs_Orange,3992.2448401947995,73,54.68828548212054
2,-1,-1,Turquoise_vs_Orange,3894.9757489575554,76,51.249680907336256
1,-2,-1,Turquoise_vs_Orange,4270.331560489363,100,42.70331560489363
2,-2,-1,Turquoise_vs_Orange,4290.957037662778,100,42.909570376627784
1,-1,-2,Turquoise_vs_Orange,3975.8687874830316,53,75.01639221666098
2,-1,-2,Turquoise_vs_Orange,3804.914229303031,61,62.37564310332837
1,-2,-2,Turquoise_vs_Orange,3864.389434077998,69,56.005643972144895
2,-2,-2,Turquoise_vs_Orange,3863.8515681657286,75,51.51802090887638
1,-1,-1,Turquoise_vs_Pale Green,2557.858396313263,49,52.20119176149516
2,-1,-1,Turquoise_vs_Pale Green,2589.4436984133627,54,47.95266108172894
1,-2,-1,Turquoise_vs_Pale Green,2834.1061859939364,68,41.678032146969656
2,-2,-1,Turquoise_vs_Pale Green,2749.1844975384793,68,40.42918378733058
1,-1,-2,Turquoise_vs_Pale Green,2528.978819081442,40,63.22447047703605
